 poly_5 373.2 1 181 0.964276 
 poly_6 444.2 1 195 1.23978392 
 poly_7 515.3 1 211 1.653045226 
 poly_8 586.3 1 228 2.066306533
 poly_9 657.3 1 243 2.479567839 
 poly_10 728.4 1 256 2.892829146 
 poly_11 799.4 1 271 3.306090452 
 poly_12 870.5 1 282 3.857105528 
 poly_13 941.5 1 294 4.270366834 
 poly_14 1012.5 1 306 4.683628141 
 polyz2_11 799.4 2 296 0.413261307 
 polyz2_12 870.5 2 309 0.551015075
 polyz2_13 941.5 2 320 0.826522613
 polyz2_14 1012.5 2 333 0.826522613
 polyz2_15 1083.6 2 344 1.102030151
 polyz2_16 1154.6 2 357 1.102030151 
 polyz2_17 1225.6 2 369 1.377537688 
 polyz2_18 1296.7 2 380 1.515291457 
 polyz2_19 1367.7 2 393 1.653045226 
 polyz2_20 1438.8 2 404 1.928552764 
 polyz2_21 1509.8 2 416 2.066306533 
 polyz2_22 1580.8 2 428 2.34181407 
 polyz2_23 1651.9 2 437 2.479567839 
 polyz2_24 1722.9 2 448 2.755075377 
 polyz2_25 1793.9 2 458 2.755075377 
 polyz2_26 1865 2 470 2.617321608 
 polyz3_3 1509.8 3 501 6.0282 
 polyz3_4 1580.8 3 518 6.27355 
 polyz3_5 1651.9 3 532 6.5689 
 polyz3_6 1722.9 3 545 6.84366 
 polyz3_7 1793.9 3 561 7.19354 
 polyz3_8 1865 3 576 7.56637 
 polyz3_9 1936 3 592 7.93628 
 polyz3_10 2007 3 606 8.32561 
 polyz3_11 2078.1 3 621 8.71684 
 polyz3_12 2149.1 3 634 9.08052 
 polyz3_13 2220.2 3 649 9.47608 
 polyz3_14 2291.2 3 666 9.86692 
 polyz3_15 2362.2 3 674 10.2545 
 
