z	velocity	temperature	rho
0.648209	149.279	532.499	0.569418
0.648309	149.219	532.356	0.569364
0.648409	149.343	532.256	0.569256
0.648509	149.396	532.12	0.569187
0.648609	149.562	532.003	0.569074
0.648709	149.564	531.857	0.568999
0.648809	149.557	531.715	0.568923
0.64891	149.552	531.567	0.568863
0.64901	149.661	531.429	0.568803
0.649109	149.741	531.305	0.56872
0.649209	149.683	531.168	0.568659
0.64931	149.598	531.018	0.568602
0.649409	149.591	530.889	0.568527
0.64951	149.467	530.737	0.568493
0.649609	149.47	530.626	0.568434
0.649709	149.292	530.459	0.568424
0.649809	149.266	530.348	0.568358
0.649909	149.216	530.217	0.568327
0.650009	149.323	530.098	0.568257
0.650109	149.293	529.926	0.568208
0.650209	149.149	529.743	0.568167
0.650309	149.222	529.651	0.568076
0.650409	149.215	529.526	0.568033
0.650509	149.149	529.374	0.568004
0.650609	149.136	529.255	0.567965
0.650709	148.99	529.079	0.567979
0.650809	148.987	528.925	0.567921
0.650909	148.919	528.742	0.567872
0.651009	148.984	528.581	0.567807
0.65111	149.228	528.468	0.567698
0.651209	149.245	528.315	0.56764
0.651309	149.364	528.2	0.567555
0.651409	149.246	528.013	0.567543
0.651509	149.33	527.877	0.567464
0.651608	149.473	527.76	0.567374
0.651709	149.543	527.62	0.567311
0.651808	149.706	527.497	0.56724
0.651909	149.653	527.312	0.567217
0.652009	149.672	527.159	0.567151
0.652109	149.534	526.964	0.567118
0.652209	149.434	526.792	0.567053
0.652309	149.392	526.638	0.567007
0.652409	149.291	526.44	0.567007
0.652509	149.423	526.317	0.566922
0.652609	149.565	526.217	0.566818
0.652709	149.481	526.036	0.566786
0.652809	149.263	525.827	0.566781
0.652909	149.378	525.742	0.566685
0.653009	149.275	525.575	0.566666
0.653109	149.105	525.383	0.566679
0.653209	149.119	525.266	0.566626
0.653308	149.17	525.153	0.566562
0.653409	149.14	524.977	0.566548
0.653509	149.264	524.798	0.566506
0.653609	149.364	524.601	0.566448
0.653709	149.359	524.412	0.566386
0.653809	149.42	524.299	0.566309
0.653909	149.371	524.127	0.566311
0.654009	149.264	523.925	0.566328
0.654109	149.2	523.769	0.566319
0.654209	149.191	523.638	0.566307
0.654309	149.143	523.498	0.5663
0.654409	149.052	523.324	0.566326
0.65451	148.837	523.065	0.566412
0.654609	149.118	522.976	0.566267
0.654709	149.182	522.826	0.566192
0.654809	149.034	522.607	0.56623
0.654909	149.197	522.531	0.566131
0.655009	149.071	522.365	0.566154
0.655109	148.94	522.202	0.566187
0.655209	148.841	522.029	0.566223
0.655309	148.786	521.818	0.566261
