zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
-0.005553911	51.02583862	0.969144786
-0.005477873	52.79160817	0.969567272
-0.005395908	54.69502514	0.970022674
-0.005389385	54.84649192	0.970058913
-0.005381726	55.02437173	0.97010147
-0.005305688	56.79013943	0.97052392
-0.005223723	58.69355441	0.970979284
-0.0052172	58.84502102	0.971015519
-0.00520954	59.02290065	0.971058073
-0.005133502	60.7886665	0.971480487
-0.005051537	62.69207948	0.971935812
-0.00504652	62.80859215	0.971963683
-0.005040628	62.94542272	0.971996418
-0.004999684	63.89621964	0.972223872
-0.004955549	64.92113479	0.972469058
-0.004951424	65.0169161	0.972491971
-0.004947912	65.09847503	0.972511482
-0.004906969	66.04927205	0.972738939
-0.004862834	67.07418733	0.972984128
-0.004858709	67.16996865	0.973007042
-0.004855197	67.25152759	0.973026554
-0.004814254	68.20232473	0.973254014
-0.004770119	69.22724013	0.973499206
-0.004765101	69.34375288	0.97352708
-0.004728837	70.18588779	0.97372855
-0.004689746	71.09367031	0.973945725
-0.004686635	71.16590825	0.973963007
-0.004682982	71.25074317	0.973983303
-0.004646718	72.09287805	0.974184772
-0.004607627	73.00066054	0.974401945
-0.004604516	73.07289848	0.974419227
-0.004600863	73.1577334	0.974439523
-0.004564599	73.99986825	0.974640991
-0.004525508	74.90765071	0.974858163
-0.004519615	75.04448129	0.974890898
-0.004479842	75.96811406	0.975111874
-0.004436968	76.96374762	0.975350077
-0.004433556	77.04297642	0.975369033
-0.004429549	77.13602128	0.975391294
-0.004389775	78.05965423	0.975612272
-0.004346901	79.05528797	0.975850478
-0.00434349	79.13451679	0.975869433
-0.004339483	79.22756167	0.975891694
-0.004299709	80.15119479	0.976112675
-0.004256835	81.14682873	0.976350883
-0.004251818	81.26334164	0.976378759
-0.004245926	81.40017211	0.976411493
-0.004187435	82.75845281	0.976736428
-0.004124385	84.22261696	0.977086691
-0.004119367	84.33912963	0.977114563
-0.004113475	84.47596003	0.977147296
-0.004054985	85.83424026	0.977472225
-0.003991934	87.2984039	0.97782248
-0.003986917	87.41491653	0.977850352
-0.003981025	87.55174687	0.977883084
-0.003922534	88.91002664	0.978208006
-0.003859484	90.37418977	0.978558255
-0.003854467	90.49070215	0.978586126
-0.003848575	90.62753287	0.978618861
-0.003771368	92.42045036	0.979047834
-0.003688142	94.35313545	0.979510227
-0.003681519	94.50693094	0.979547021
-0.003673742	94.68754588	0.979590232
-0.003596535	96.48045943	0.980019161
-0.003513309	98.41314027	0.980481508
-0.003506687	98.56693542	0.980518298
-0.003498909	98.74754996	0.980561505
-0.003421702	100.5404596	0.980990391
-0.003338477	102.4731362	0.981452691
-0.003333459	102.5896469	0.981480561
-0.003327567	102.7264781	0.981513293
-0.003287793	103.6501153	0.981734222
-0.003244918	104.6457699	0.98197239
-0.003241506	104.7249996	0.981991342
-0.003237499	104.8180465	0.982013601
-0.003197725	105.7416861	0.982234555
-0.00315485	106.7373433	0.982472749
-0.003151438	106.8165731	0.982491705
-0.003147431	106.9096203	0.982513965
-0.003107657	107.8332623	0.982734945
-0.003064782	108.8289221	0.982973167
-0.003059765	108.9454251	0.983001039
-0.003053873	109.0822618	0.983033777
-0.002995385	110.4404804	0.983358736
-0.002932332	111.9047111	0.983709055
-0.002927315	112.0212212	0.98373693
-0.002921423	112.1580578	0.983769669
-0.002862935	113.5162757	0.98409462
-0.002799882	114.9805055	0.98444493
-0.002794865	115.0970157	0.984472805
-0.002788972	115.2338522	0.984505542
-0.002730484	116.5920693	0.984830485
-0.002667432	118.0562983	0.985180788
-0.002662417	118.1727523	0.985208648
-0.002656523	118.3096183	0.985241392
-0.002579492	120.0984486	0.985669379
-0.002496411	122.0277834	0.986130964
-0.002489802	122.1812508	0.986167679
-0.002482038	122.3615526	0.986210815
-0.002405007	124.1503783	0.986638763
-0.002321926	126.0797082	0.987100305
-0.002315317	126.2331752	0.987137017
-0.002307553	126.4134766	0.987180148
-0.002230522	128.2022977	0.987608057
-0.002147441	130.1316226	0.988069558
-0.00214244	130.247753	0.988097336
-0.002136539	130.384795	0.988130119
-0.002096681	131.3103841	0.988351516
-0.002053574	132.3114237	0.988590974
-0.002050152	132.3908911	0.988609984
-0.002046123	132.4844413	0.988632363
-0.002006265	133.4100336	0.988853788
-0.001963158	134.4110769	0.989093276
-0.001959736	134.4905446	0.989112289
-0.001955707	134.5840951	0.98913467
-0.001915849	135.5096908	0.989356123
-0.001872742	136.5107376	0.989595642
-0.001867815	136.6251474	0.989623014
-0.001861869	136.7632434	0.989656055
-0.001804777	138.0890512	0.989973262
-0.001742009	139.5466679	0.990322003
-0.001737085	139.6610092	0.990349359
-0.001731219	139.7972277	0.99038195
-0.001674127	141.1230347	0.990699153
-0.001611359	142.5806505	0.991047889
-0.001606435	142.6949918	0.991075245
-0.001600569	142.8312102	0.991107835
-0.001543477	144.1570163	0.991425034
-0.001480709	145.6146312	0.991773765
-0.001476217	145.7189591	0.991798726
-0.001470005	145.863196	0.991833233
-0.001414946	147.1417933	0.992139119
-0.001348293	148.6896368	0.99250941
-0.001343405	148.8031408	0.992536564
-0.001337176	148.9477914	0.992571168
-0.001282117	150.2263898	0.992877042
-0.001215464	151.7742346	0.993247319
-0.001210576	151.8877388	0.993274471
-0.001204347	152.0323894	0.993309075
-0.001149288	153.310989	0.993614936
-0.001082634	154.8588351	0.993985199
-0.001077913	154.9684612	0.994011423
-0.001071621	155.1145397	0.99404637
-0.001011162	156.5185655	0.994382268
-0.000935762	158.2690601	0.994801051
-0.000930342	158.3948718	0.994831149
-0.000923296	158.5584277	0.994870277
-0.000862837	159.961556	0.995205953
-0.000787437	161.710931	0.995624457
-0.000782017	161.8366622	0.995654536
-0.000774971	162.0001135	0.995693638
-0.000714512	163.4023443	0.996029091
-0.000639112	165.1505998	0.996447317
-0.00063404	165.2680044	0.996475402
-0.00062939	165.3745726	0.996500898
-0.000624724	165.4812694	0.996526426
-0.000600446	166.0615825	0.996665274
-0.00057589	166.6426299	0.996804297
-0.000470809	169.058162	0.997382226
-0.000468557	169.1088568	0.997394355
-0.000451491	169.4916843	0.997485946
-0.000434158	169.8778674	0.997578338
-0.000303394	172.7062886	0.998255002
-0.00029636	172.8541664	0.998290379
-0.000278803	173.2213863	0.998378227
-0.00023741	174.0764557	0.998582779
-0.000135979	176.1079755	0.999068744
-0.000125983	176.2658824	0.999106517
-0.000113074	176.466541	0.999154517
-8.92069E-05	176.751418	0.999222662
-1.08439E-05	177.8650851	0.999489102
-8.289E-07	177.9870296	0.999518275
1.64971E-05	178.1870638	0.99956613
4.74451E-05	178.5099432	0.999643372
0.000142085	179.2234591	0.999814048
0.000147518	179.2518943	0.999820849
0.000169093	179.3513759	0.99984464
0.000184097	179.4079181	0.999858161
0.000295014	179.5040702	0.999881096
0.000296452	179.5120349	0.999883002
0.000296565	179.5127175	0.999883165
0.000310244	179.5970424	0.999903338
0.000312039	179.6005711	0.999904183
0.000324899	179.6253753	0.999910117
0.000335354	179.6487256	0.999915708
0.000453207	179.8024627	0.999952604
0.00048825	179.8396377	0.999961486
0.000512087	179.8626882	0.99996698
0.000519237	179.8692492	0.999968542
0.000586794	179.923191	0.999981328
0.000676805	179.9722824	0.999992799
0.000686398	179.9759189	0.999993632
0.000709207	179.9833305	0.999995311
0.000749938	179.9922419	0.999997254
0.000860977	179.9883695	0.999995673
0.00086551	179.9891734	0.999995817
0.00088309	179.9918688	0.999995892
0.000891271	179.9924114	0.9999956
0.00095352	179.9946145	0.99999724
0.001014196	179.9963953	0.999993642
0.001031535	179.9968376	0.999991672
0.001041527	179.9970791	0.999990346
0.001095749	179.9982185	0.999980726
0.001172446	179.9993364	0.999960125
0.00118165	179.9994317	0.999957102
0.001191783	179.9995269	0.999953638
0.001229412	179.9997923	0.99993952
0.001330696	179.9998149	0.99989172
0.001331547	179.9998187	0.999891147
0.001334945	179.9998273	0.999886124
0.00133942	179.9998389	0.999879733
0.00141616	179.9998139	0.999743178
0.001419736	179.9998114	0.999733797
0.001425555	179.9998069	0.999717959
0.001426233	179.9998064	0.999716068
0.00150377	179.999715	0.999436004
0.001506629	179.9997105	0.999423264
0.001512506	179.999701	0.999396535
