z	velocity	temperature	rho
-0.17696065	99.5029	295.292	1.09405
-0.17689366	99.752	295.269	1.09397
-0.17688403	99.7642	295.268	1.09396
-0.17684528	99.705	295.274	1.09383
-0.17678860999999998	99.6012	295.286	1.09367
-0.17672878	99.8547	295.262	1.09364
-0.17670495	99.8734	295.261	1.09358
-0.17664615	99.8399	295.265	1.09343
-0.17658058999999998	99.7996	295.27	1.09327
-0.17652308	99.9952	295.251	1.09321
-0.17650691999999998	99.9631	295.255	1.09317
-0.17644864	99.9135	295.261	1.09303
-0.17641045	99.9814	295.255	1.09296
-0.17634376999999998	100.091	295.245	1.09286
-0.17634027	100.09	295.245	1.09285
-0.17626872999999998	100.172	295.238	1.09276
-0.17626297999999999	100.157	295.24	1.09274
-0.17621374	100.197	295.237	1.09266
-0.1761549	100.198	295.238	1.09253
-0.1761294	100.196	295.238	1.09248
-0.17610349	100.216	295.237	1.09243
-0.17604454	100.171	295.242	1.09228
-0.17601686	100.221	295.237	1.09224
-0.17597875999999998	100.197	295.24	1.09214
-0.17591931	100.132	295.248	1.092
-0.17586393	100.166	295.245	1.09192
-0.17583207	100.243	295.238	1.09187
-0.17579899	100.271	295.236	1.09181
-0.17576005	100.254	295.238	1.09172
-0.17569815	100.358	295.229	1.09164
-0.17567826	100.385	295.226	1.09161
-0.17565667	100.396	295.226	1.09158
-0.17561416999999999	100.291	295.237	1.09145
-0.17554326	100.311	295.236	1.09132
-0.17553583	100.329	295.234	1.09131
-0.1754827	100.384	295.23	1.09124
-0.17545993	100.365	295.232	1.09119
-0.17542475	100.36	295.233	1.09112
-0.17538473999999998	100.484	295.221	1.09108
-0.17537796	100.488	295.221	1.09107
-0.17531418999999998	100.377	295.233	1.09089
-0.17527937999999998	100.378	295.233	1.09082
-0.17521741	100.536	295.218	1.09074
-0.17515914	100.429	295.23	1.09058
-0.17511508	100.476	295.226	1.09051
-0.17505477	100.459	295.229	1.0904
-0.1749987	100.609	295.215	1.09035
-0.17495722	100.543	295.222	1.09024
-0.17493681	100.504	295.226	1.09019
-0.17488547	100.623	295.215	1.09013
-0.17486474999999999	100.618	295.216	1.09009
-0.17481591	100.491	295.229	1.08995
-0.17477368	100.602	295.219	1.08991
-0.17473781	100.667	295.213	1.08985
-0.17470671	100.67	295.213	1.08979
-0.17464554	100.646	295.217	1.08966
-0.17462895	100.657	295.216	1.08963
-0.17462492999999998	100.659	295.216	1.08962
-0.17459738	100.638	295.218	1.08957
-0.17453733999999999	100.548	295.228	1.08941
-0.17449129	100.635	295.22	1.08934
-0.17442259999999998	100.746	295.21	1.08924
-0.17440788	100.714	295.214	1.0892
-0.17436232	100.611	295.224	1.08906
-0.17430703	100.793	295.207	1.08902
-0.17428261	100.746	295.212	1.08895
-0.1742245	100.707	295.217	1.0888
-0.17416858	100.773	295.212	1.08871
-0.17412507	100.81	295.209	1.08864
-0.17407134999999999	100.832	295.207	1.08853
-0.17402749	100.858	295.205	1.08843
-0.17397874	100.953	295.197	1.08839
-0.17390545999999998	100.876	295.205	1.08822
-0.1738902	100.914	295.202	1.0882
-0.1738537	101.013	295.193	1.08816
-0.17378369	101.048	295.19	1.08802
-0.17374576	101.112	295.185	1.08796
-0.17373634999999998	101.11	295.185	1.08794
-0.17367011999999998	100.945	295.202	1.08774
-0.17360806	101.078	295.19	1.08768
-0.17357229	101.165	295.182	1.08763
-0.17354972	101.158	295.183	1.08756
-0.17350682	101.091	295.191	1.08744
-0.17344768	101.15	295.186	1.08734
-0.17339675	101.066	295.195	1.08719
-0.17339622999999998	101.066	295.195	1.08719
-0.17333764999999998	101.024	295.2	1.08705
-0.17329192999999998	101.068	295.196	1.08696
-0.17325609	101.165	295.187	1.08692
-0.17324196	101.173	295.186	1.08689
-0.17320321	101.198	295.185	1.08682
-0.17316582	101.161	295.189	1.08672
-0.17313967	101.221	295.183	1.08668
-0.1731201	101.26	295.18	1.08665
-0.17306324	101.108	295.196	1.08647
-0.17302815	101.137	295.193	1.0864
-0.17298857	101.238	295.184	1.08634
-0.17295982	101.201	295.188	1.08627
-0.17293057	101.183	295.19	1.08621
-0.17291842999999998	101.177	295.191	1.08618
-0.17286742	101.187	295.191	1.08608
-0.17282836	101.163	295.194	1.08597
-0.17277887	101.21	295.19	1.08587
-0.17272283	101.3	295.182	1.08579
-0.17268862	101.241	295.188	1.08569
-0.17263741999999999	101.114	295.202	1.08555
-0.17259017999999998	101.182	295.195	1.08549
-0.17253817	101.285	295.186	1.08542
-0.1725044	101.233	295.192	1.08533
-0.17247226999999998	101.161	295.199	1.08524
-0.17246704	101.151	295.201	1.08522
-0.17240186	101.256	295.191	1.08513
-0.17236508	101.336	295.184	1.08509
-0.17232195	101.295	295.189	1.08499
-0.17228311	101.268	295.192	1.0849
-0.17226455	101.22	295.197	1.08484
-0.17220331	101.211	295.199	1.08469
-0.17217064999999998	101.276	295.193	1.08465
-0.17212591	101.231	295.198	1.08453
-0.1720749	101.219	295.2	1.08441
-0.17202682	101.201	295.202	1.08431
-0.1719753	101.166	295.207	1.08417
-0.17191617	101.257	295.199	1.08408
-0.17190827	101.258	295.199	1.08406
-0.17188704	101.204	295.204	1.084
-0.17182733	101.172	295.208	1.08386
-0.17176544	101.338	295.193	1.08379
-0.17173191999999998	101.305	295.197	1.08372
-0.17170409	101.257	295.202	1.08365
-0.17167505	101.275	295.2	1.0836
-0.17165146	101.307	295.198	1.08356
-0.17160715999999998	101.342	295.195	1.08349
-0.1715494	101.288	295.201	1.08336
-0.17149324	101.429	295.188	1.0833
-0.17148829	101.432	295.188	1.08329
-0.17148159	101.411	295.19	1.08327
-0.17141603	101.291	295.203	1.0831
-0.17136866	101.247	295.208	1.08299
-0.17136298	101.223	295.21	1.08297
-0.17130977	101.204	295.213	1.08284
-0.1712477	101.195	295.215	1.0827
-0.17119768999999999	101.295	295.206	1.08264
-0.17113133	101.338	295.203	1.08251
-0.17110366	101.318	295.205	1.08244
-0.1710664	101.191	295.218	1.08231
-0.17099699999999998	101.202	295.218	1.08217
-0.1709801	101.169	295.222	1.08212
-0.1709416	101.222	295.217	1.08207
-0.17089949999999998	101.202	295.22	1.08197
-0.1708649	101.154	295.225	1.08187
-0.17079819999999998	101.208	295.221	1.08176
-0.1707395	101.115	295.231	1.08161
-0.1706924	101.137	295.229	1.0815
-0.1706461	101.076	295.236	1.08138
-0.1705911	101.116	295.233	1.08129
-0.1705498	101.182	295.227	1.08122
-0.17053949999999998	101.173	295.228	1.0812
-0.1704682	101.126	295.234	1.08101
-0.1704062	101.028	295.244	1.08084
-0.17035699999999998	101.164	295.232	1.08078
-0.17029909999999998	101.08	295.241	1.08062
-0.1702537	101.108	295.239	1.08054
-0.17021609999999998	101.132	295.237	1.08047
-0.1702087	101.142	295.236	1.08046
-0.1701638	101.121	295.239	1.08035
-0.1701211	101.104	295.241	1.08025
-0.1700882	101.023	295.25	1.08016
-0.1700484	101.031	295.25	1.08006
-0.1700005	101.04	295.249	1.07998
-0.16994589999999998	101.126	295.242	1.07989
-0.1699416	101.125	295.242	1.07988
-0.1698915	100.977	295.257	1.07971
-0.1698468	100.946	295.261	1.0796
-0.16979	101.045	295.252	1.07951
-0.1697535	101.042	295.253	1.07945
-0.1696956	101.042	295.254	1.07932
-0.1696548	101.075	295.252	1.07922
-0.1695957	101.065	295.254	1.07911
-0.1695525	101.142	295.247	1.07905
-0.1694929	101.07	295.255	1.07887
-0.1694562	101.126	295.25	1.0788
-0.1694476	101.181	295.245	1.0788
-0.1694337	101.174	295.246	1.07876
-0.1693608	101.046	295.259	1.07855
-0.1693007	101.08	295.257	1.07845
-0.1692518	101.014	295.264	1.07832
-0.1691904	101.105	295.256	1.07821
-0.16913029999999998	101.033	295.265	1.07807
-0.1690947	101.032	295.265	1.07798
-0.169077	101.023	295.266	1.07794
-0.1690185	101.09	295.261	1.07784
-0.16900869999999998	101.077	295.262	1.07781
-0.1689502	100.815	295.289	1.07759
-0.168896	100.887	295.283	1.07749
-0.16883209999999998	101.056	295.268	1.07742
-0.1688307	101.059	295.267	1.07742
-0.1688001	101.111	295.263	1.07736
-0.1687928	101.123	295.262	1.07735
-0.16874999999999998	101.128	295.262	1.07726
-0.168712	101.1	295.265	1.07716
-0.16869879999999998	101.054	295.27	1.07711
-0.1686838	100.996	295.276	1.07705
-0.16863029999999998	100.871	295.289	1.07689
-0.168571	101.173	295.261	1.07685
-0.1685016	101.017	295.277	1.07663
-0.1684328	100.995	295.281	1.07645
-0.16842179999999998	101.014	295.279	1.07643
