[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
0.978428,0.225806,1.01879,0.227181,0.488554,0.200584,5.75876e-05,0.00227736

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
BSA17A_1,66879,17,0.000137754,49074.9,47983
BSA17A_2,66879,17,0.000275508,45231.1,47599.1
BSA17A_3,66879,17,0.000413261,42345.4,47107.1
BSA17A_4,66879,17,0.000551015,41461.9,46838.9
BSA17A_5,66879,17,0.000688769,40560.4,46568.1
BSA17A_6,66879,17,0.000826523,38729.3,45986.8
BSA17A_7,66879,17,0.000964276,36848.6,45362.4
BSA17A_8,66879,17,0.00110203,35969.7,44973.5
BSA17A_9,66879,17,0.00123978,34079.8,44224.7
BSA17A_10,66879,17,0.00137754,30262.6,42456.2
BSA17A_11,66879,17,0.00151529,28359.9,41411
BSA17A_12,66879,17,0.00165305,25501.9,39620.4
BSA17A_13,66879,17,0.0017908,23655.3,38231.5
BSA17A_14,66879,17,0.00192855,23761.1,38178.2
BSA17A_15,66879,17,0.00206631,23898.1,38107.4
BSA17A_16,66879,17,0.00220406,24019.3,38044.6
BSA17A_17,66879,17,0.00234181,22137.1,36541.3
BSA17A_18,66879,17,0.00247957,21246.5,35706.1
BSA17A_19,66879,17,0.00261732,20352.3,34830.2
BSA17A_20,66879,17,0.00275508,19484.4,33895
BSA17A_21,66879,17,0.00289283,17605.8,31932.1
BSA17A_22,66879,17,0.00303058,17738,31878.5
BSA17A_23,66879,17,0.00316834,14890.5,28466.9
BSA17A_24,66879,17,0.00330609,14026.5,27139.8
BSA17A_25,66879,17,0.00344384,14117.9,27112.3
BSA17A_26,66879,17,0.0035816,12293.7,24180.7
BSA17A_27,66879,17,0.00371935,10437.5,20692.2
BSA17A_28,66879,17,0.00385711,8562.25,16279.9
BSA17A_29,66879,17,0.00399486,8685.61,16253.8
BSA17A_30,66879,17,0.00413261,8815.81,16225.1
BSA17A_31,66879,17,0.00427037,8941.15,16197.1
BSA17A_32,66879,17,0.00440812,9047.03,16178.1
BSA17A_33,66879,17,0.00454587,8158.3,13353.8
BSA17A_34,66879,17,0.00468363,7271.66,9658.84
BSA17A_35,66879,17,0.00482138,7365.65,9652.7
BSA17A_36,66879,17,0.00495914,6484.87,2586.49
BSA17A_37,66879,17,0.00509689,6603.03,2556.87
BSA17A_38,66879,17,0.00523464,6699.8,2561.53
BSA17A_39,66879,17,0.0053724,6817.26,2532.19
BSA17A_40,66879,17,0.00551015,6914.46,2532.35
BSA17A_41,66879,17,0.0056479,7008.63,2536.41
BSA17A_42,66879,17,0.00578566,7101.49,2541.2
BSA17A_43,66879,17,0.00592341,7205.32,2527.79
BSA17A_44,66879,17,0.00606117,7296.97,2531.8
BSA17A_45,66879,17,0.00619892,7387.46,2536.57
BSA17A_46,66879,17,0.00633667,7482.6,2530.87
BSA17A_47,66879,17,0.00647443,7572.01,2534.49
BSA17A_48,66879,17,0.00661218,7659.99,2538.98
BSA17A_49,66879,17,0.00674993,7746.84,2544.3
BSA17A_50,66879,17,0.00688769,7832.58,2550.15
BSA17A_51,66879,17,0.00702544,7917.28,2556.42
BSA17A_52,66879,17,0.0071632,8018.81,2532.43
BSA17A_53,66879,17,0.00730095,8102.52,2537.95
BSA17A_54,66879,17,0.0074387,8185.33,2543.79
BSA17A_55,66879,17,0.00757646,8267.24,2549.97
BSA17A_56,66879,17,0.00771421,8348.31,2556.56
BSA17A_57,66879,17,0.00785196,8428.53,2563.39
BSA17A_58,66879,17,0.00798972,8507.89,2570.51
BSA17A_59,66879,17,0.00812747,8586.49,2577.83
BSA17A_60,66879,17,0.00826523,8664.37,2585.51
BSA17A_61,66879,17,0.00840298,8741.53,2593.41
BSA17A_62,66879,17,0.00854073,8817.88,2601.44
BSA17A_63,66879,17,0.00867849,8893.64,2609.71
BSA17A_64,66879,17,0.00881624,8968.63,2618.07
BSA17A_65,66879,17,0.00895399,9042.93,2626.65
BSA17A_66,66879,17,0.00909175,9116.65,2635.45
BSA17A_67,66879,17,0.0092295,9189.78,2644.43
BSA17A_68,66879,17,0.00936726,9262.19,2653.43
BSA17A_69,66879,17,0.00950501,9334.09,2662.59
BSA17A_70,66879,17,0.00964276,9405.43,2671.93
BSA17A_71,66879,17,0.00978052,9476.19,2681.23
BSA17A_72,66879,17,0.00991827,9546.46,2690.8
BSA17A_73,66879,17,0.010056,9616.16,2700.39
BSA17A_74,66879,17,0.0101938,9685.25,2709.96
BSA17A_75,66879,17,0.0103315,9753.93,2719.69
BSA17A_76,66879,17,0.0104693,9822.15,2729.58
BSA17A_77,66879,17,0.010607,9889.85,2739.5
BSA17A_78,66879,17,0.0107448,9957.08,2749.48
BSA17A_79,66879,17,0.0108825,10023.8,2759.43
BSA17A_80,66879,17,0.0110203,10090,2769.52
BSA17A_81,66879,17,0.0111581,10155.9,2779.67
BSA17A_82,66879,17,0.0112958,10221.2,2789.86
BSA17A_83,66879,17,0.0114336,10286.1,2799.95
BSA17A_84,66879,17,0.0115713,10350.6,2810.25
BSA17A_85,66879,17,0.0117091,10414.7,2820.53
BSA17A_86,66879,17,0.0118468,10478.4,2830.87
BSA17A_87,66879,17,0.0119846,10541.7,2841.2
BSA17A_88,66879,17,0.0121223,10604.7,2851.57
BSA17A_89,66879,17,0.0122601,10667.2,2861.95
BSA17A_90,66879,17,0.0123978,10729.3,2872.27
BSA17A_91,66879,17,0.0125356,10791.2,2882.68
BSA17A_92,66879,17,0.0126733,10852.7,2893.16
BSA17A_93,66879,17,0.0128111,10913.8,2903.68
BSA17A_94,66879,17,0.0129489,10974.5,2914.12
BSA17A_95,66879,17,0.0130866,11035,2924.63
BSA17A_96,66879,17,0.0132244,11095,2935.11
BSA17A_97,66879,17,0.0133621,11154.7,2945.59
BSA17A_98,66879,17,0.0134999,11214.2,2956.01
BSA17A_99,66879,17,0.0136376,11273.3,2966.58
BSA17A_100,66879,17,0.0137754,11332,2977.09
BSA17A_101,66879,17,0.0139131,11390.5,2987.56
BSA17A_102,66879,17,0.0140509,11448.7,2998.08
BSA17A_103,66879,17,0.0141886,11506.5,3008.58
BSA17A_104,66879,17,0.0143264,11564,3019.07
BSA17A_105,66879,17,0.0144641,11621.3,3029.6
BSA17A_106,66879,17,0.0146019,11678.2,3040.07
BSA17A_107,66879,17,0.0147397,11734.9,3050.47
BSA17A_108,66879,17,0.0148774,11791.4,3060.96
BSA17A_109,66879,17,0.0150152,11847.6,3071.46
BSA17A_110,66879,17,0.0151529,11903.4,3081.96
BSA17A_111,66879,17,0.0152907,11959.1,3092.42
BSA17A_112,66879,17,0.0154284,12014.5,3102.87
BSA17A_113,66879,17,0.0155662,12069.6,3113.3
BSA17A_114,66879,17,0.0157039,12124.5,3123.74
BSA17A_115,66879,17,0.0158417,12179.1,3134.19
BSA17A_116,66879,17,0.0159794,12233.5,3144.66
BSA17A_117,66879,17,0.0161172,12287.5,3155.06
BSA17A_118,66879,17,0.0162549,12341.4,3165.39
BSA17A_119,66879,17,0.0163927,12395,3175.76
BSA17A_120,66879,17,0.0165305,12448.4,3186.06
BSA17A_121,66879,17,0.0166682,12501.5,3196.42
BSA17A_122,66879,17,0.016806,12554.5,3206.75
BSA17A_123,66879,17,0.0169437,12607.2,3217.1
BSA17A_124,66879,17,0.0170815,12659.7,3227.43
BSA17A_125,66879,17,0.0172192,12712.1,3237.73
BSA17A_126,66879,17,0.017357,12764.1,3247.99
BSA17A_127,66879,17,0.0174947,12815.9,3258.22
BSA17A_128,66879,17,0.0176325,12867.6,3268.42
BSA17A_129,66879,17,0.0177702,12919.1,3278.66
BSA17A_130,66879,17,0.017908,12970.4,3288.86
BSA17A_131,66879,17,0.0180457,13021.3,3299.02
BSA17A_132,66879,17,0.0181835,13072.1,3309.14
BSA17A_133,66879,17,0.0183213,13122.7,3319.29
BSA17A_134,66879,17,0.018459,13173.1,3329.35
BSA17A_135,66879,17,0.0185968,13223.3,3339.45
BSA17A_136,66879,17,0.0187345,13273.4,3349.61
BSA17A_137,66879,17,0.0188723,13323.2,3359.76
BSA17A_138,66879,17,0.01901,13372.8,3369.77
BSA17A_139,66879,17,0.0191478,13422.2,3379.77
BSA17A_140,66879,17,0.0192855,13471.5,3389.82
BSA17A_141,66879,17,0.0194233,13520.5,3399.84
BSA17A_142,66879,17,0.019561,13569.4,3409.76
BSA17A_143,66879,17,0.0196988,13618.2,3419.73
BSA17A_144,66879,17,0.0198365,13666.7,3429.68
BSA17A_145,66879,17,0.0199743,13715.1,3439.52
BSA17A_146,66879,17,0.0201121,13763.3,3449.52
BSA17A_147,66879,17,0.0202498,13811.3,3459.44
BSA17A_148,66879,17,0.0203876,13859.2,3469.35
BSA17A_149,66879,17,0.0205253,13906.8,3479.22
BSA17A_150,66879,17,0.0206631,13954.4,3489.05
BSA17A_151,66879,17,0.0208008,14001.8,3498.99
BSA17A_152,66879,17,0.0209386,14049.1,3508.81
BSA17A_153,66879,17,0.0210763,14096.1,3518.59
BSA17A_154,66879,17,0.0212141,14143.1,3528.38
BSA17A_155,66879,17,0.0213518,14189.8,3538.16
BSA17A_156,66879,17,0.0214896,14236.4,3547.88
BSA17A_157,66879,17,0.0216273,14282.9,3557.58
BSA17A_158,66879,17,0.0217651,14329.2,3567.22
BSA17A_159,66879,17,0.0219028,14375.3,3576.88
BSA17A_160,66879,17,0.0220406,14421.2,3586.57
BSA17A_161,66879,17,0.0221784,14467.1,3596.2
BSA17A_162,66879,17,0.0223161,14512.8,3605.77
BSA17A_163,66879,17,0.0224539,14558.4,3615.46
BSA17A_164,66879,17,0.0225916,14603.8,3625.05
BSA17A_165,66879,17,0.0227294,14649.1,3634.62
BSA17A_166,66879,17,0.0228671,14694.3,3644.21
