# Range file name:,BSA16C.txt,BSA16C.txt.1,BSA16C.txt.2,BSA16C.txt.3,BSA16C.txt.4,BSA16C.txt.5,BSA16C.txt.6,BSA16C.txt.7,BSA16C.txt.8,BSA16C.txt.9,BSA16C.txt.10,BSA16C.txt.11,BSA16C.txt.12,BSA16C.txt.13,BSA16C.txt.14,BSA16C.txt.15,BSA16C.txt.16,BSA16C.txt.17,BSA16C.txt.18,BSA16C.txt.19,BSA16C.txt.20,BSA16C.txt.21,BSA16C.txt.22,BSA16C.txt.23,BSA16C.txt.24,BSA16C.txt.25,BSA16C.txt.26,BSA16C.txt.27,BSA16C.txt.28,BSA16C.txt.29,BSA16C.txt.30,BSA16C.txt.31,BSA16C.txt.32,BSA16C.txt.33,BSA16C.txt.34,BSA16C.txt.35,BSA16C.txt.36,BSA16C.txt.37,BSA16C.txt.38,BSA16C.txt.39
# Raw file name:,251001_BSA_CIU_high_CA.raw,251001_BSA_CIU_high_CB.raw,251001_BSA_CIU_high_CC.raw,251001_BSA_CIU_high_CD.raw,251001_BSA_CIU_high_CE.raw,251001_BSA_CIU_high_CF.raw,251001_BSA_CIU_high_CG.raw,251001_BSA_CIU_high_CH.raw,251001_BSA_CIU_high_CI.raw,251001_BSA_CIU_high_CJ.raw,251001_BSA_CIU_high_CK.raw,251001_BSA_CIU_high_CL.raw,251001_BSA_CIU_high_CM.raw,251001_BSA_CIU_high_CN.raw,251001_BSA_CIU_high_CO.raw,251001_BSA_CIU_high_CP.raw,251001_BSA_CIU_high_CQ.raw,251001_BSA_CIU_high_CR.raw,251001_BSA_CIU_high_CS.raw,251001_BSA_CIU_high_CT.raw,251001_BSA_CIU_high_CU.raw,251001_BSA_CIU_high_CV.raw,251001_BSA_CIU_high_CW.raw,251001_BSA_CIU_high_CX.raw,251001_BSA_CIU_high_CY.raw,251001_BSA_CIU_high_CZ.raw,251001_BSA_CIU_high_DA.raw,251001_BSA_CIU_high_DB.raw,251001_BSA_CIU_high_DC.raw,251001_BSA_CIU_high_DD.raw,251001_BSA_CIU_high_DE.raw,251001_BSA_CIU_high_DF.raw,251001_BSA_CIU_high_DG.raw,251001_BSA_CIU_high_DH.raw,251001_BSA_CIU_high_DI.raw,251001_BSA_CIU_high_DJ.raw,251001_BSA_CIU_high_DK.raw,251001_BSA_CIU_high_DL.raw,251001_BSA_CIU_high_DM.raw,251001_BSA_CIU_high_DN.raw
28126.8,0.0,134.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,61.0,73.0,0.0,28.0,0.0,0.0,0.0,53.0,87.0,29.0,0.0,29.0,34.0,0.0,0.0,0.0,24.0,0.0,45.0,38.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
25256.1,45.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,21.0,0.0,95.0,48.0,23.0,0.0,86.0,52.0,47.0,0.0,51.0,61.0,0.0,20.0,39.0,0.0,0.0,32.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0
23414.3,0.0,37.0,0.0,31.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,29.0,0.0,49.0,0.0,0.0,22.0,0.0,46.0,26.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
23501.6,24.0,22.0,40.0,24.0,0.0,0.0,258.0,55.0,29.0,66.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,43.0,0.0,50.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23628.8,25.0,33.0,0.0,37.0,21.0,0.0,941.0,0.0,0.0,0.0,45.0,101.0,0.0,34.0,40.0,72.0,22.0,49.0,0.0,87.0,83.0,65.0,0.0,0.0,73.0,37.0,22.0,134.0,52.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23745.8,0.0,37.0,24.0,0.0,70.0,0.0,298.0,0.0,95.0,0.0,0.0,95.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,74.0,0.0,0.0,27.0,0.0,31.0,0.0,204.0,29.0,38.0,32.0,0.0,61.0,0.0,0.0,50.0,23.0,0.0,41.0,0.0,0.0
21862.2,0.0,0.0,0.0,0.0,0.0,0.0,116.0,65.0,0.0,0.0,46.0,0.0,0.0,31.0,0.0,29.0,37.0,0.0,0.0,0.0,57.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,44.0,38.0,0.0,66.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
20954.7,0.0,0.0,0.0,70.0,0.0,0.0,79.0,0.0,36.0,0.0,22.0,34.0,0.0,0.0,39.0,69.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,30.0,89.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
20048.9,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,45.0,0.0,26.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,85.0,0.0,0.0,0.0,0.0,104.0,0.0,36.0,0.0,0.0,53.0,0.0
19165.5,0.0,20.0,40.0,25.0,20.0,38.0,19.0,34.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,50.0,0.0,20.0,37.0,0.0,0.0,62.0,0.0,44.0,0.0,19.0,49.0,0.0,0.0,0.0,123.0,52.0,63.0,101.0,29.0,0.0,0.0,0.0,0.0,0.0
