# Range file name:,BSA15C.txt,BSA15C.txt.1,BSA15C.txt.2,BSA15C.txt.3,BSA15C.txt.4,BSA15C.txt.5,BSA15C.txt.6,BSA15C.txt.7,BSA15C.txt.8,BSA15C.txt.9,BSA15C.txt.10,BSA15C.txt.11,BSA15C.txt.12,BSA15C.txt.13,BSA15C.txt.14,BSA15C.txt.15,BSA15C.txt.16,BSA15C.txt.17,BSA15C.txt.18,BSA15C.txt.19,BSA15C.txt.20,BSA15C.txt.21,BSA15C.txt.22,BSA15C.txt.23,BSA15C.txt.24,BSA15C.txt.25,BSA15C.txt.26,BSA15C.txt.27,BSA15C.txt.28,BSA15C.txt.29,BSA15C.txt.30,BSA15C.txt.31,BSA15C.txt.32,BSA15C.txt.33,BSA15C.txt.34,BSA15C.txt.35,BSA15C.txt.36,BSA15C.txt.37,BSA15C.txt.38,BSA15C.txt.39
# Raw file name:,251001_BSA_CIU_high_CA.raw,251001_BSA_CIU_high_CB.raw,251001_BSA_CIU_high_CC.raw,251001_BSA_CIU_high_CD.raw,251001_BSA_CIU_high_CE.raw,251001_BSA_CIU_high_CF.raw,251001_BSA_CIU_high_CG.raw,251001_BSA_CIU_high_CH.raw,251001_BSA_CIU_high_CI.raw,251001_BSA_CIU_high_CJ.raw,251001_BSA_CIU_high_CK.raw,251001_BSA_CIU_high_CL.raw,251001_BSA_CIU_high_CM.raw,251001_BSA_CIU_high_CN.raw,251001_BSA_CIU_high_CO.raw,251001_BSA_CIU_high_CP.raw,251001_BSA_CIU_high_CQ.raw,251001_BSA_CIU_high_CR.raw,251001_BSA_CIU_high_CS.raw,251001_BSA_CIU_high_CT.raw,251001_BSA_CIU_high_CU.raw,251001_BSA_CIU_high_CV.raw,251001_BSA_CIU_high_CW.raw,251001_BSA_CIU_high_CX.raw,251001_BSA_CIU_high_CY.raw,251001_BSA_CIU_high_CZ.raw,251001_BSA_CIU_high_DA.raw,251001_BSA_CIU_high_DB.raw,251001_BSA_CIU_high_DC.raw,251001_BSA_CIU_high_DD.raw,251001_BSA_CIU_high_DE.raw,251001_BSA_CIU_high_DF.raw,251001_BSA_CIU_high_DG.raw,251001_BSA_CIU_high_DH.raw,251001_BSA_CIU_high_DI.raw,251001_BSA_CIU_high_DJ.raw,251001_BSA_CIU_high_DK.raw,251001_BSA_CIU_high_DL.raw,251001_BSA_CIU_high_DM.raw,251001_BSA_CIU_high_DN.raw
$TrapCV:,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0
0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,43.0,0.0,65.0,74.0,67.0,77.0,0.0,31.0,20.0,20.0,0.0,35.0,41.0,0.0,29.0,25.0,0.0,0.0,56.0,78.0,0.0,20.0,21.0,0.0,19.0,30.0,22.0,30.0,0.0,23.0,0.0,0.0
48766.2,41.0,49.0,0.0,0.0,39.0,0.0,21.0,0.0,0.0,41.0,0.0,0.0,32.0,0.0,39.0,0.0,0.0,27.0,221.0,0.0,73.0,0.0,117.0,0.0,0.0,38.0,66.0,0.0,28.0,0.0,69.0,27.0,20.0,0.0,0.0,39.0,0.0,30.0,38.0,0.0
44891.8,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,0.0,52.0,0.0,24.0,0.0,30.0,49.0,28.0,0.0,0.0,0.0,48.0,127.0,0.0,54.0,77.0,111.0,27.0,90.0,60.0,65.0,20.0,30.0,125.0,0.0,49.0,0.0,0.0,0.0,0.0
42007,0.0,0.0,36.0,0.0,81.0,30.0,0.0,0.0,0.0,0.0,85.0,0.0,29.0,26.0,0.0,57.0,36.0,38.0,41.0,0.0,59.0,46.0,89.0,87.0,0.0,66.0,0.0,66.0,54.0,0.0,0.0,105.0,54.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
41087.9,51.0,32.0,23.0,72.0,0.0,22.0,0.0,23.0,0.0,52.0,22.0,89.0,30.0,0.0,88.0,0.0,0.0,90.0,78.0,31.0,60.0,83.0,72.0,137.0,20.0,45.0,0.0,48.0,0.0,36.0,56.0,0.0,0.0,32.0,100.0,0.0,77.0,0.0,0.0,33.0
40167.5,0.0,94.0,63.0,52.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,20.0,36.0,27.0,38.0,53.0,36.0,42.0,0.0,35.0,0.0,87.0,80.0,0.0,0.0,35.0,67.0,20.0,44.0,38.0,20.0,82.0,0.0,23.0,68.0,0.0,22.0,0.0,0.0,0.0
38326.6,0.0,0.0,0.0,0.0,0.0,29.0,0.0,20.0,0.0,0.0,0.0,43.0,0.0,0.0,55.0,41.0,34.0,38.0,25.0,0.0,30.0,78.0,35.0,0.0,0.0,0.0,0.0,104.0,52.0,196.0,25.0,172.0,52.0,24.0,0.0,31.0,0.0,0.0,45.0,0.0
36435.4,62.0,53.0,21.0,22.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,36.0,0.0,128.0,60.0,0.0,98.0,64.0,28.0,107.0,0.0,82.0,0.0,84.0,22.0,36.0,42.0,19.0,33.0,50.0,31.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
35526.5,26.0,27.0,25.0,51.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,34.0,0.0,78.0,22.0,0.0,26.0,0.0,53.0,24.0,0.0,0.0,145.0,37.0,79.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
