Feature Median Centroids
Filename,Feature 1,Feature 2,Feature 3,(etc)
DT_251001_BSA_CIU_high_AA.raw_#BSA15A-,8148.63,6623.18,7241.19,7733.74
DT_251001_BSA_CIU_high_AA.raw_#BSA16A-,10068.50,6662.39,7276.80,8058.41,7983.95
DT_251001_BSA_CIU_high_AA.raw_#BSA17A-,14026.50,8685.61,7296.97,7917.28,8226.28,8102.07,8266.82,6817.26,8018.81
DT_251001_BSA_CIU_high_CA.raw_#BSA15C-,8148.63,6623.18,7167.93,7699.59
DT_251001_BSA_CIU_high_CA.raw_#BSA16C-,10068.50,6662.39,7276.80,8058.41
DT_251001_BSA_CIU_high_CA.raw_#BSA17C-,14026.50,8815.81,7342.22,7832.58,7271.66,8428.53,6699.80,8185.33
DT_251001_BSA_CIU_high_EA.raw_#BSA15E-,8148.63,6623.18,7167.93,7665.43
DT_251001_BSA_CIU_high_EA.raw_#BSA16E-,10068.50,6662.39,7276.80,8058.41
DT_251001_BSA_CIU_high_EA.raw_#BSA17E-,14026.50,8685.61,7296.97,7832.58,6699.80,8102.52
Feature CV ranges
Filename,Feature 1,Feature 2,Feature 3,(etc)
DT_251001_BSA_CIU_high_AA.raw_#BSA15A-,5.0-50.0,55.0-75.0,80.0-155.0,160.0-200.0
DT_251001_BSA_CIU_high_AA.raw_#BSA16A-,5.0-35.0,50.0-60.0,65.0-105.0,120.0-185.0,190.0-200.0
DT_251001_BSA_CIU_high_AA.raw_#BSA17A-,5.0-30.0,40.0-45.0,55.0-75.0,80.0-105.0,110.0-115.0,120.0-125.0,130.0-135.0,140.0-175.0,180.0-200.0
DT_251001_BSA_CIU_high_CA.raw_#BSA15C-,5.0-50.0,55.0-75.0,80.0-160.0,165.0-200.0
DT_251001_BSA_CIU_high_CA.raw_#BSA16C-,5.0-35.0,50.0-60.0,65.0-125.0,130.0-200.0
DT_251001_BSA_CIU_high_CA.raw_#BSA17C-,5.0-35.0,40.0-45.0,60.0-75.0,80.0-105.0,110.0-125.0,130.0-140.0,145.0-180.0,185.0-195.0
DT_251001_BSA_CIU_high_EA.raw_#BSA15E-,5.0-50.0,55.0-75.0,80.0-155.0,160.0-200.0
DT_251001_BSA_CIU_high_EA.raw_#BSA16E-,5.0-35.0,50.0-65.0,70.0-125.0,130.0-195.0
DT_251001_BSA_CIU_high_EA.raw_#BSA17E-,5.0-35.0,40.0-45.0,55.0-75.0,80.0-120.0,150.0-175.0,180.0-195.0
