[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
0.978428,0.225806,1.01879,0.227181,0.488554,0.200584,5.75876e-05,0.00227736

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
BSA17C_106,66879,17,0.0146019,11678.2,3040.07
BSA17C_107,66879,17,0.0147397,11734.9,3050.47
BSA17C_108,66879,17,0.0148774,11791.4,3060.96
BSA17C_109,66879,17,0.0150152,11847.6,3071.46
BSA17C_110,66879,17,0.0151529,11903.4,3081.96
BSA17C_111,66879,17,0.0152907,11959.1,3092.42
BSA17C_112,66879,17,0.0154284,12014.5,3102.87
BSA17C_113,66879,17,0.0155662,12069.6,3113.3
BSA17C_114,66879,17,0.0157039,12124.5,3123.74
BSA17C_115,66879,17,0.0158417,12179.1,3134.19
BSA17C_116,66879,17,0.0159794,12233.5,3144.66
BSA17C_117,66879,17,0.0161172,12287.5,3155.06
BSA17C_118,66879,17,0.0162549,12341.4,3165.39
BSA17C_119,66879,17,0.0163927,12395,3175.76
BSA17C_120,66879,17,0.0165305,12448.4,3186.06
BSA17C_121,66879,17,0.0166682,12501.5,3196.42
BSA17C_122,66879,17,0.016806,12554.5,3206.75
BSA17C_123,66879,17,0.0169437,12607.2,3217.1
BSA17C_124,66879,17,0.0170815,12659.7,3227.43
BSA17C_125,66879,17,0.0172192,12712.1,3237.73
BSA17C_126,66879,17,0.017357,12764.1,3247.99
BSA17C_127,66879,17,0.0174947,12815.9,3258.22
BSA17C_128,66879,17,0.0176325,12867.6,3268.42
BSA17C_129,66879,17,0.0177702,12919.1,3278.66
BSA17C_130,66879,17,0.017908,12970.4,3288.86
BSA17C_131,66879,17,0.0180457,13021.3,3299.02
BSA17C_132,66879,17,0.0181835,13072.1,3309.14
BSA17C_133,66879,17,0.0183213,13122.7,3319.29
BSA17C_134,66879,17,0.018459,13173.1,3329.35
BSA17C_135,66879,17,0.0185968,13223.3,3339.45
BSA17C_136,66879,17,0.0187345,13273.4,3349.61
BSA17C_137,66879,17,0.0188723,13323.2,3359.76
BSA17C_138,66879,17,0.01901,13372.8,3369.77
BSA17C_139,66879,17,0.0191478,13422.2,3379.77
BSA17C_140,66879,17,0.0192855,13471.5,3389.82
BSA17C_141,66879,17,0.0194233,13520.5,3399.84
BSA17C_142,66879,17,0.019561,13569.4,3409.76
BSA17C_143,66879,17,0.0196988,13618.2,3419.73
BSA17C_144,66879,17,0.0198365,13666.7,3429.68
BSA17C_145,66879,17,0.0199743,13715.1,3439.52
BSA17C_146,66879,17,0.0201121,13763.3,3449.52
BSA17C_147,66879,17,0.0202498,13811.3,3459.44
BSA17C_148,66879,17,0.0203876,13859.2,3469.35
BSA17C_149,66879,17,0.0205253,13906.8,3479.22
BSA17C_150,66879,17,0.0206631,13954.4,3489.05
BSA17C_151,66879,17,0.0208008,14001.8,3498.99
BSA17C_152,66879,17,0.0209386,14049.1,3508.81
BSA17C_153,66879,17,0.0210763,14096.1,3518.59
BSA17C_154,66879,17,0.0212141,14143.1,3528.38
BSA17C_155,66879,17,0.0213518,14189.8,3538.16
BSA17C_156,66879,17,0.0214896,14236.4,3547.88
BSA17C_157,66879,17,0.0216273,14282.9,3557.58
BSA17C_158,66879,17,0.0217651,14329.2,3567.22
BSA17C_159,66879,17,0.0219028,14375.3,3576.88
BSA17C_160,66879,17,0.0220406,14421.2,3586.57
BSA17C_161,66879,17,0.0221784,14467.1,3596.2
BSA17C_162,66879,17,0.0223161,14512.8,3605.77
BSA17C_163,66879,17,0.0224539,14558.4,3615.46
BSA17C_164,66879,17,0.0225916,14603.8,3625.05
BSA17C_165,66879,17,0.0227294,14649.1,3634.62
BSA17C_166,66879,17,0.0228671,14694.3,3644.21
BSA17C_167,66879,17,0.0230049,14739.2,3653.68
BSA17C_168,66879,17,0.0231426,14784,3663.17
BSA17C_169,66879,17,0.0232804,14828.8,3672.61
BSA17C_170,66879,17,0.0234181,14873.3,3682.11
BSA17C_171,66879,17,0.0235559,14917.8,3691.55
BSA17C_172,66879,17,0.0236936,14962.1,3701.02
BSA17C_173,66879,17,0.0238314,15006.3,3710.48
BSA17C_174,66879,17,0.0239692,15050.4,3719.94
BSA17C_175,66879,17,0.0241069,15094.2,3729.31
BSA17C_176,66879,17,0.0242447,15138,3738.66
BSA17C_177,66879,17,0.0243824,15181.7,3747.83
BSA17C_178,66879,17,0.0245202,15225.3,3757.14
BSA17C_179,66879,17,0.0246579,15268.8,3766.5
BSA17C_180,66879,17,0.0247957,15312.1,3775.77
BSA17C_181,66879,17,0.0249334,15355.2,3785.03
BSA17C_182,66879,17,0.0250712,15398.2,3794.29
BSA17C_183,66879,17,0.0252089,15441.1,3803.52
BSA17C_184,66879,17,0.0253467,15483.8,3812.69
BSA17C_185,66879,17,0.0254844,15526.6,3821.95
BSA17C_186,66879,17,0.0256222,15569.1,3831.12
BSA17C_187,66879,17,0.02576,15611.6,3840.2
BSA17C_188,66879,17,0.0258977,15653.9,3849.29
BSA17C_189,66879,17,0.0260355,15696.2,3858.41
BSA17C_190,66879,17,0.0261732,15738.2,3867.53
BSA17C_191,66879,17,0.026311,15780.2,3876.61
BSA17C_192,66879,17,0.0264487,15822.1,3885.76
BSA17C_193,66879,17,0.0265865,15863.8,3894.83
BSA17C_194,66879,17,0.0267242,15905.6,3904.1
BSA17C_195,66879,17,0.026862,15947.2,3913.11
BSA17C_196,66879,17,0.0269997,15988.7,3922.11
BSA17C_197,66879,17,0.0271375,16030,3931.15
BSA17C_198,66879,17,0.0272752,16071.3,3940.09
BSA17C_199,66879,17,0.027413,16112.4,3949
