[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
0.978428,0.225806,1.01879,0.227181,0.488554,0.200584,5.75876e-05,0.00227736

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
BSA15A_1,66879,15,0.000137754,48766.2,48268
BSA15A_2,66879,15,0.000275508,44891.8,47887.9
BSA15A_3,66879,15,0.000413261,42007,47376.8
BSA15A_4,66879,15,0.000551015,41087.9,47132.2
BSA15A_5,66879,15,0.000688769,40167.5,46869.9
BSA15A_6,66879,15,0.000826523,38326.6,46282.9
BSA15A_7,66879,15,0.000964276,36435.4,45652.4
BSA15A_8,66879,15,0.00110203,35526.5,45278.3
BSA15A_9,66879,15,0.00123978,33629.4,44519.5
BSA15A_10,66879,15,0.00137754,29786.2,42738.1
BSA15A_11,66879,15,0.00151529,27885.5,41675.4
BSA15A_12,66879,15,0.00165305,25000.9,39876
BSA15A_13,66879,15,0.0017908,23138.3,38478.8
BSA15A_14,66879,15,0.00192855,23219.8,38438.5
BSA15A_15,66879,15,0.00206631,23332.1,38381.3
BSA15A_16,66879,15,0.00220406,23436.4,38327.4
BSA15A_17,66879,15,0.00234181,21536.2,36813.4
BSA15A_18,66879,15,0.00247957,20619.6,35980.7
BSA15A_19,66879,15,0.00261732,19720.8,35095.3
BSA15A_20,66879,15,0.00275508,18822.6,34162.7
BSA15A_21,66879,15,0.00289283,16930.8,32180.5
BSA15A_22,66879,15,0.00303058,17054.6,32130.1
BSA15A_23,66879,15,0.00316834,14184.8,28687
BSA15A_24,66879,15,0.00330609,13321.1,27344.3
BSA15A_25,66879,15,0.00344384,13421.8,27311.9
BSA15A_26,66879,15,0.0035816,11552.1,24364.2
BSA15A_27,66879,15,0.00371935,9687.3,20838.3
BSA15A_28,66879,15,0.00385711,7801.43,16377.8
BSA15A_29,66879,15,0.00399486,7913.88,16354.3
BSA15A_30,66879,15,0.00413261,8025.96,16330.4
BSA15A_31,66879,15,0.00427037,8148.63,16302.4
BSA15A_32,66879,15,0.00440812,8238.03,16286.7
BSA15A_33,66879,15,0.00454587,7343.3,13426.6
BSA15A_34,66879,15,0.00468363,6439.04,9680.46
BSA15A_35,66879,15,0.00482138,6533.93,9670.73
BSA15A_36,66879,15,0.00495914,5645.32,2318.97
BSA15A_37,66879,15,0.00509689,5740.96,2306.12
BSA15A_38,66879,15,0.00523464,5817.5,2318.75
BSA15A_39,66879,15,0.0053724,5928.57,2286.33
BSA15A_40,66879,15,0.00551015,6025.07,2278.45
BSA15A_41,66879,15,0.0056479,6114.03,2274.9
BSA15A_42,66879,15,0.00578566,6208.02,2262.49
BSA15A_43,66879,15,0.00592341,6290.91,2265.78
BSA15A_44,66879,15,0.00606117,6372.85,2269.53
BSA15A_45,66879,15,0.00619892,6454.52,2272.41
BSA15A_46,66879,15,0.00633667,6535.13,2276.13
BSA15A_47,66879,15,0.00647443,6623.18,2265.88
BSA15A_48,66879,15,0.00661218,6709.1,2256.23
BSA15A_49,66879,15,0.00674993,6788.07,2258.31
BSA15A_50,66879,15,0.00688769,6865.99,2261.25
BSA15A_51,66879,15,0.00702544,6942.84,2264.79
BSA15A_52,66879,15,0.0071632,7018.77,2268.79
BSA15A_53,66879,15,0.00730095,7093.78,2273.18
BSA15A_54,66879,15,0.0074387,7167.93,2277.93
BSA15A_55,66879,15,0.00757646,7241.19,2282.97
BSA15A_56,66879,15,0.00771421,7313.7,2288.49
BSA15A_57,66879,15,0.00785196,7385.51,2294.18
BSA15A_58,66879,15,0.00798972,7456.55,2300.11
